Industry,,12 AM,1 AM,2 AM,3 AM,4 AM,5 AM,6 AM,7 AM,8 AM,9 AM,10 AM,11 AM,12 PM,1 PM,2 PM,3 PM,4 PM,5 PM,6 PM,7 PM,8 PM,9 PM,10 PM,11 PM
Transportation and utilities,,8.2,7.1,6.4,5.3,10.7,13.9,23.0,41.0,62.4,65.6,70.6,65.9,50.4,62.7,67.7,64.7,53.0,34.1,22.5,15.1,13.0,12.5,10.4,10.1
Transportation and utilities,Transportation and warehousing,8.8,7.4,6.9,5.9,12.7,15.7,24.4,40.3,57.0,62.0,68.3,63.6,52.0,60.0,65.9,63.0,52.8,34.8,24.7,16.4,13.9,13.4,10.9,11.0
Transportation and utilities,Utilities,5.9,6.0,4.7,2.7,2.9,7.1,17.5,43.6,83.5,79.4,79.5,74.9,44.1,73.3,74.8,70.9,53.7,31.5,14.0,10.1,9.6,9.1,8.6,6.7
Information,,2.5,2.0,1.7,1.6,3.5,4.2,6.2,16.4,43.7,61.5,66.5,68.6,53.3,60.8,66.9,67.2,62.3,43.5,22.8,14.5,9.6,9.2,9.1,4.3
Financial activities,,1.3,1.0,0.7,0.5,0.5,1.2,5.2,16.1,46.9,75.2,76.8,81.2,59.6,64.5,75.2,76.1,66.6,38.9,17.5,8.5,5.7,5.0,4.8,2.8
Financial activities,Finance and insurance,1.2,0.9,0.6,0.5,0.4,1.1,5.0,15.8,51.5,79.6,79.5,84.4,61.6,66.5,79.6,79.6,71.2,40.3,17.3,7.3,4.6,4.2,4.6,2.4
Financial activities,Real estate and rental and leasing,1.6,1.1,1.0,0.5,0.7,1.5,5.8,17.2,34.2,62.9,69.2,72.3,54.0,58.9,63.2,66.4,53.6,34.8,18.0,11.8,8.6,7.2,5.4,3.6
Professional and business services,,4.4,3.2,2.6,2.8,3.1,4.8,9.9,21.6,46.5,66.5,72.2,75.5,53.3,62.8,68.8,68.4,59.8,38.9,18.6,11.4,9.2,9.0,7.7,5.9
Professional and business services,Professional and technical services,2.6,1.7,1.3,1.2,2.1,2.6,6.9,17.2,41.5,67.3,75.4,77.9,52.9,62.3,70.7,71.8,64.9,44.6,19.3,10.2,8.3,8.5,7.1,4.1
Professional and business services,"Management, administrative, and waste services",7.8,5.7,4.9,5.7,4.8,8.8,15.4,29.5,55.6,65.2,66.4,71.1,54.0,63.8,65.4,62.3,50.5,28.7,17.3,13.6,10.8,10.0,8.9,9.2
Education and health services,,3.9,3.1,2.9,3.0,4.5,5.3,11.1,25.3,52.2,67.5,68.8,68.6,55.2,60.3,66.7,61.5,46.6,28.5,15.8,13.1,11.2,10.3,7.9,6.4
Education and health services,Educational services,1.3,0.6,0.5,0.3,1.1,1.8,6.9,21.0,52.9,67.7,69.0,67.9,54.6,63.6,67.8,60.3,39.9,22.1,12.2,9.6,10.0,8.8,5.4,3.4
Education and health services,Healthcare and social assistance,5.9,5.0,4.7,5.1,7.0,8.0,14.4,28.6,51.7,67.4,68.6,69.1,55.6,57.8,65.8,62.5,51.8,33.4,18.5,15.7,12.0,11.5,9.7,8.8
Leisure and hospitality,,7.3,5.6,3.9,2.9,4.2,5.2,10.8,17.7,27.2,39.1,44.2,52.6,51.3,51.8,49.9,48.2,45.7,44.0,38.3,37.9,33.3,28.3,21.3,12.0
Leisure and hospitality,"Arts, entertainment, and recreation",7.8,5.6,2.8,2.5,3.4,4.8,11.9,20.7,28.3,44.7,48.5,51.9,42.3,45.5,49.7,46.2,46.2,34.1,27.7,26.0,18.5,15.6,17.2,9.8
Leisure and hospitality,Accommodation and food services,7.2,5.7,4.2,3.1,4.5,5.3,10.4,16.6,26.9,37.2,42.7,52.8,54.4,53.9,50.0,48.8,45.5,47.4,42.0,42.0,38.5,32.6,22.7,12.8
Other services,,1.0,0.7,0.7,0.6,1.7,2.6,6.5,16.8,36.9,57.7,67.8,71.1,55.2,64.2,70.9,64.5,58.8,36.6,21.8,15.8,11.9,7.6,4.1,2.2
Other services,"Other services, except private households",0.8,0.4,0.4,0.3,1.2,2.3,6.5,17.4,37.7,59.0,68.7,71.7,55.3,64.1,71.7,65.7,61.1,37.7,22.6,16.3,12.5,7.9,4.3,2.0
Other services,"Other services, private households",3.8,3.8,3.8,3.8,7.2,5.6,6.1,9.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12.8,10.0,5.0,4.6,1.9,4.9
Public administration,,7.3,6.8,5.3,6.0,7.5,8.6,16.4,31.7,61.4,73.0,73.1,73.0,53.5,61.3,71.2,68.7,55.4,27.4,14.3,11.3,10.6,9.6,10.2,8.8
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
